people_id,roles_id
honjudith-collins,minister-responsible-for-the-nzsis
andrew-hampton,director-general-of-security
honpaul-goldsmith,minister-for-arts-culture-and-heritage
laurence-kubiak,chair
peter-biggs,chief-executive
honlouise-upston,minister-for-tourism-and-hospitality
paul-brock,chair
rene-de-monchy,chief-executive
hontodd-mcclay,minister-for-trade-and-investment
honmelissa-lee,minister-for-economic-development
honnicola-grigg,minister-of-state-for-trade
peter-chrisp,chief-executive
brett-gliddon,chief-executive
honsimon-bridges,chair
sirmark-solomon-knzm,chairperson
arihia-bennett,chief-executive
john-morgan,chief-executive
rasmus-gabrielsson,chief-executive
alan-strong,chair
craig-deal,manager
phil-durham,chairperson
jonathan-gibbard,chief-executive
tui-shortland,chairperson
ripeka-evans,chairperson
wayne-jackson,acting-chief-executive
rob-everett,chief-executive
cameron-harland,chief-executive
drruth-harley-cmnz-obe,chair
honcasey-costello,minister-for-seniors
honbrooke-van-velden,minister-of-internal-affairs
caroline-flora,chief-censor
michael-timmins,director
david-wilson,clerk-of-the-house
judgepeter-boshier,chief-ombudsman
vaughan-renner,chairperson
drcaroline-seelig,chief-executive
david-moore,mayor
miles-mcconway,chief-executive
honkaren-chhour,minister-for-children
chappie-te-kani,acting-chief-executive
colin-weatherall,chairperson
ian-hadland,chief-executive
phil-ker,chief-executive
kathy-grant,chairperson
gretchen-robertson,chairperson
richard-saunders,chief-executive
corinne-haines,chairperson
john-bridgman,chief-executive
tanya-winter,chief-executive
max-baxter,mayor
hon-drshane-reti,minister-for-pacific-peoples
kim-tuaine,chief-executive-officer
faamatuainu-tino-pereira,chairperson
rt-honwinston-peters,minister-of-foreign-affairs
fiso-john-fiso-onzm,chairperson
chris-dyhrberg,acting-chief-executive
grant-smith,mayor
honjudith-collins,attorney-general
cassie-nicholson,chief-parliamentary-counsel
rafael-gonzalez-montero,general-manager
sean-gray,chief-executive
george-reedy,chair
hondavid-seymour,associate-minister-of-health-pharmac
drpeter-bramley,chair
sarah-fitt,chief-executive
greg-gent,acting-chair
david-hughes,chief-executive-officer
anita-baker,mayor
wendy-walker,chief-executive
rob-forlong,chief-executive-officer
denise-church-qso-cfinstd,board-chair
michael-webster,privacy-commissioner
emma-boddy,general-manager
liz-macpherson,deputy-privacy-commissioner
honjudith-collins,minister-for-the-public-service
heather-baggott,acting-public-service-commissioner
ian-fitzgerald,chair
glenys-talivai,chief-executive-officer
alan-livingston,chair
dan-coup,chief-executive
glyn-lewers,mayor
mike-theelen,chief-executive
jacquie-barker,chief-executive
raewyn-lovett,chair
paul-thompson,chief-executive
drjim-mather,chair
peter-beggs,chief-executive
andy-watson,mayor
honpaul-goldsmith,minister-of-justice
denese-bates-qc,chairperson
hon-damefran-wilde-dnzm-qso,chairperson
