id,honorific,name,is_minister
harry-wilson,,Harry Wilson,0
martin-connelly,,Martin Connelly,0
alister-james,,Alister James,0
anthony-honeybone,,Anthony Honeybone,0
rob-scott,,Rob Scott,0
cameron-mcintosh,,Cameron McIntosh,0
lindsay-withington,,Lindsay Withington,0
raelene-castle,,Raelene Castle,0
mark-sowden,,Mark Sowden,0
sven-hanne,,Sven Hanne,0
neil-volzke,,Neil Volzke,0
chris-collins,,Chris Collins,0
david-pearson,,David Pearson,0
andrew-hudson,,Andrew Hudson,0
carl-blanchard,,Carl Blanchard,0
evan-davies,,Evan Davies,0
shelley-katae,,Shelley Katae,0
phil-teal,,Phil Teal,0
chris-donald,,Chris Donald,0
steve-ruru,,Steve Ruru,0
charlotte-littlewood,,Charlotte Littlewood,0
bryan-nicholson,,Bryan Nicholson,0
tracey-collis,,Tracey Collis,0
leonie-rae,,Leonie Rae,0
tim-king,,Tim King,0
allan-prangnell,,Allan Prangnell,0
gareth-green,,Gareth Green,0
david-trewavas,,David Trewavas,0
mahe-drysdale,,Mahé Drysdale,0
rami-rahal,,Rami Rahal,0
jane-wrightson,,Jane Wrightson,0
mike-hollings,,Mike Hollings,0
karen-sewell,,Karen Sewell,0
larry-parr-onzm,,"Larry Parr, ONZM",0
dreruera-prendergast-tarena,Dr,Eruera Prendergast-Tarena,0
poia-rewi,,Poia Rewi,0
reikura-kahi,,Reikura Kahi,0
bernie-o-donnell,,Bernie O'Donnell,0
stephen-town,,Stephen Town,0
dave-samuels,,Dave Samuels,0
ngahiwi-apanui,,Ngahiwi Apanui,0
professorrawinia-higgins,Professor,Rawinia Higgins,0
drcharlotte-severne,Dr,Charlotte Severne,0
honte-ururoa-flavell,Hon,Te Ururoa Flavell,0
vanessa-eparaima,,Vanessa Eparaima,0
mereana-selby,,Mereana Selby,0
robin-hapi,,Robin Hapi,0
justicelayne-harvey,Justice,Layne Harvey,0
wiremu-doherty,,Wiremu Doherty,0
robyn-baker,,Robyn Baker,0
lesley-hoskin,,Lesley Hoskin,0
david-bone,,David Bone,0
jodi-o-donnell,,Jodi O'Donnell,0
alastair-carruthers,,Alastair Carruthers,0
charley-lamb,,Charley Lamb,0
tim-fowler,,Tim Fowler,0
jenn-bestwick,,Jenn Bestwick,0
aileen-lawrie,,Aileen Lawrie,0
len-salt,,Len Salt,0
lil-anderson,,Lil Anderson,0
drcaralee-mcliesh,Dr,Caralee McLiesh,0
bede-carran,,Bede Carran,0
nigel-bowen,,Nigel Bowen,0
drleon-de-wet-fourie,Dr,Leon de Wet Fourie,0
catherine-cooney,,Catherine Cooney,0
martin-sawyers,,Martin Sawyers,0
david-clarke,,David Clarke,0
sirjohn-clarke,Sir,John Clarke,0
drkeith-turner,Dr,Keith Turner,0
merran-davis,,Merran Davis,0
ben-vanderkolk,,Ben Vanderkolk,0
dramanda-lynn,Dr,Amanda Lynn,0
cheryl-de-la-rey,,Cheryl de la Rey,0
chris-whelan,,Chris Whelan,0
drbronwen-kelly,Dr,Bronwen Kelly,0
professordawn-freshwater,Professor,Dawn Freshwater,0
susan-mccormack,,Susan McCormack,0
professor-david-murdoch,,Professor David Murdoch,0
stephen-higgs,,Stephen Higgs,0
rt-hon-siranand-satyanand,Rt Hon Sir,Anand Satyanand,0
wayne-guppy,,Wayne Guppy,0
neill-sullivan,,Neill Sullivan,0
profgrant-guilford,Prof,Grant Guilford,0
neil-paviour-smith,,Neil Paviour-Smith,0
jacqui-church,,Jacqui Church,0
gavin-ion,,Gavin Ion,0
dave-christiansen,,Dave Christiansen,0
chris-mclay,,Chris McLay,0
barry-quayle,,Barry Quayle,0
jeff-millward,,Jeff Millward,0
dan-gordon,,Dan Gordon,0
stuart-duncan,,Stuart Duncan,0
craig-rowley,,Craig Rowley,0
susan-oregan,,Susan O’Regan,0
garry-dyet,,Garry Dyet,0
kitea-tipuna,,Kitea Tipuna,0
craig-little,,Craig Little,0
alex-parmley,,Alex Parmley,0
gary-kircher,,Gary Kircher,0
ben-smit,,Ben Smit,0
john-robertson,,John Robertson,0
tory-whanau,,Tory Whanau,0
matt-prosser,,Matt Prosser,0
paul-dewar,,Paul Dewar,0
chris-gosling,,Chris Gosling,0
drneil-barns,Dr,Neil Barns,0
dean-kelly,,Dean Kelly,0
andy-harris,,Andy Harris,0
heather-mabin,,Heather Mabin,0
allan-birchfield,,Allan Birchfield,0
james-denyer,,James Denyer,0
john-holyoake,,John Holyoake,0
john-snook,,John Snook,0
robin-brockie,,Robin Brockie,0
helen-lash,,Helen Lash,0
simon-bastion,,Simon Bastion,0
paula-tesoriero,,Paula Tesoriero,0
victor-luca,,Victor Luca,0
steph-o-sullivan,,Steph O'Sullivan,0
andrew-tripe,,Andrew Tripe,0
david-langford,,David Langford,0
vince-cocurullo,,Vince Cocurullo,0
simon-weston,,Simon Weston,0
steve-haszard,,Steve Haszard,0
jennifer-kerr,,Jennifer Kerr,0
