organisations_id,roles_id
landcorp,chair
landcorp,chief-executive-officer
law-commission,minister-of-justice
law-commission,general-manager
law-commission,president
leadership-development-centre,interim-director
lincoln-university,chancellor
lincoln-university,acting-vice-chancellor
local-government-commission,chief-executive-officer
mackenzie-district-council,chief-executive
mackenzie-district-council,mayor
mana-mokopuna-children-and-young-peoples-commission,minister-for-social-development-and-employment
mana-mokopuna-children-and-young-peoples-commission,minister-for-children
mana-mokopuna-children-and-young-peoples-commission,associate-minister-for-social-development-and-employment
mana-mokopuna-children-and-young-peoples-commission,childrens-commissioner
manawatu-district-council,chief-executive
manawatu-district-council,mayor
manukau-institute-of-technology,chief-executive
manukau-institute-of-technology,chairperson
maori-television,minister-for-maori-development
maori-television,chair
maori-television,acting-chief-executive
maritime-new-zealand,minister-of-transport
maritime-new-zealand,associate-minister-of-transport
maritime-new-zealand,chair
marlborough-district-council,mayor
marlborough-district-council,chief-executive
massey-university,chancellor
massey-university,vice-chancellor
masterton-district-council,mayor
masterton-district-council,chief-executive
matamata-piako-district-council,mayor
matamata-piako-district-council,chief-executive-officer
mental-health-and-wellbeing-commission,minister-for-mental-health
mental-health-and-wellbeing-commission,chair
mercury-nz-limited,chief-executive
mercury-nz-limited,chair
meridian-energy-limited,chair
meridian-energy-limited,chief-executive
metservice,minister-for-state-owned-enterprises
metservice,chair
ministry-for-culture-and-heritage,minister-for-arts-culture-and-heritage
ministry-for-culture-and-heritage,minister-for-media-and-communications
ministry-for-culture-and-heritage,parliamentary-under-secretary-to-the-minister-for-media-and-communications
ministry-for-culture-and-heritage,associate-minister-for-sport-and-recreation
ministry-for-culture-and-heritage,minister-for-sport-and-recreation
ministry-for-culture-and-heritage,chief-executive-and-secretary-for-culture-and-heritage
ministry-for-ethnic-communities,chief-executive
ministry-for-pacific-peoples,minister-for-pacific-peoples
ministry-for-pacific-peoples,chief-executive
ministry-for-primary-industries,minister-for-food-safety
ministry-for-primary-industries,minister-for-biosecurity
ministry-for-primary-industries,associate-minister-of-agriculture-animal-welfare-skills
ministry-for-primary-industries,minister-of-forestry
ministry-for-primary-industries,minister-of-agriculture
ministry-for-primary-industries,minister-for-rural-communities
ministry-for-primary-industries,associate-minister-of-agriculture
ministry-for-primary-industries,minister-for-hunting-and-fishing
ministry-for-primary-industries,associate-minister-of-agriculture-horticulture
ministry-for-primary-industries,minister-for-oceans-and-fisheries
ministry-for-primary-industries,director-general
ministry-for-the-environment,minister-of-climate-change
ministry-for-the-environment,minister-for-the-environment
ministry-for-the-environment,associate-minister-for-the-environment
ministry-for-the-environment,minister-responsible-for-rma-reform
ministry-for-the-environment,parliamentary-under-secretary-to-the-minister-responsible-for-rma-reform
ministry-for-the-environment,chief-executive-and-secretary-for-the-environment
ministry-for-women,minister-for-women
ministry-for-women,te-tumu-whakarae-mo-te-wahine-secretary-for-women-and-chief-executive
ministry-of-business-innovation-and-employment,minister-for-energy
ministry-of-business-innovation-and-employment,minister-for-small-business-and-manufacturing
ministry-of-business-innovation-and-employment,minister-for-building-and-construction
ministry-of-business-innovation-and-employment,minister-for-tourism-and-hospitality
ministry-of-business-innovation-and-employment,minister-for-workplace-relations-and-safety
ministry-of-business-innovation-and-employment,minister-of-immigration
ministry-of-business-innovation-and-employment,minister-of-commerce-and-consumer-affairs
ministry-of-business-innovation-and-employment,minister-of-science-innovation-and-technology
ministry-of-business-innovation-and-employment,minister-for-regulation
ministry-of-business-innovation-and-employment,minister-for-space
ministry-of-business-innovation-and-employment,minister-for-regional-development
ministry-of-business-innovation-and-employment,associate-minister-for-energy
ministry-of-business-innovation-and-employment,minister-of-resources
ministry-of-business-innovation-and-employment,chief-executive
ministry-of-defence,associate-minister-of-defence
ministry-of-defence,minister-of-defence
ministry-of-defence,chief-executive-secretary-of-defence
ministry-of-education,minister-of-education
ministry-of-education,associate-minister-of-education-partnership-schools
ministry-of-education,chief-executive-and-secretary-for-education
ministry-of-foreign-affairs-and-trade,minister-for-trade-and-investment
ministry-of-foreign-affairs-and-trade,associate-minister-of-foreign-affairs
ministry-of-foreign-affairs-and-trade,minister-of-state-for-trade
ministry-of-foreign-affairs-and-trade,minister-of-foreign-affairs
ministry-of-foreign-affairs-and-trade,chief-executive-and-secretary-of-foreign-affairs-and-trade
ministry-of-health-manatu-hauora,associate-minister-of-health
ministry-of-health-manatu-hauora,minister-of-health
ministry-of-health-manatu-hauora,director-general-of-health-and-chief-executive
ministry-of-housing-and-urban-development,minister-of-housing
